Country,,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Sierra Leone,,..,4.94937,3.46767,3.58631,3.29477,3.14475,2.83588,..,2.55851,2.41317,2.73788,2.55047,2.6689,2.87204,2.37981,2.66291,..,2.91236,..
Singapore,,..,3.32136,3.55138,3.90063,4.00778,3.67701,3.21966,2.86787,2.96336,2.77936,3.03184,3.10836,3.07419,3.11266,2.91284,..,..,..,..
Sint Maarten (Dutch part),,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Slovakia,,4.11247,3.87199,3.94199,4.25106,4.21721,4.10813,3.76522,3.71354,3.52932,3.52674,4.01094,4.11588,3.96231,3.90921,4.08666,4.23068,4.64978,..,..
Slovenia,,..,..,5.75709,5.65512,5.69128,5.63518,5.58241,5.57559,5.10509,5.10609,5.56859,5.56251,5.56563,5.64783,5.43782,5.29444,..,..,..
Solomon Islands,,..,..,..,..,..,..,..,..,9.87995,8.79999,8.97326,10.00108,..,..,..,..,..,..,..
Somalia,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Africa,,5.87523,5.44358,5.15948,5.06622,4.86485,5.06891,5.0632,5.07257,4.97414,4.866,5.24869,5.72174,5.96275,6.37164,6.01354,6.04694,..,5.94303,..
South Sudan,,..,..,..,..,..,..,..,..,..,..,..,..,0.80521,..,1.1789,1.71297,1.54061,1.81094,..
Spain,,4.27052,4.17637,4.11988,4.13603,4.16717,4.14829,4.13003,4.16759,4.23332,4.50094,4.86771,4.81912,4.86633,4.43188,4.32834,4.2799,..,..,..
Sri Lanka,,..,..,..,..,..,..,..,..,..,..,2.0559,1.71774,1.80861,1.49617,1.62107,1.93288,2.22853,3.49497,..
Sudan,,..,1.01218,..,1.42644,..,1.6299,1.56307,1.96302,..,2.20143,2.21868,..,..,..,..,..,..,..,..
Sudan (pre-secession),,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Suriname,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Svalbard and Jan Mayen Islands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Swaziland,,5.09095,5.50848,4.83824,4.44087,5.81677,5.40161,6.48462,6.55476,..,6.61812,6.47135,6.11837,6.86433,..,..,7.12767,..,..,..
Sweden,,6.93026,6.81885,6.68601,7.00104,6.85764,6.72268,6.55951,6.41067,6.21507,6.39073,6.85779,6.62199,6.49112,7.65619,7.71774,7.68125,..,..,..
Switzerland,,4.89023,4.7814,4.95981,5.31429,5.52376,5.44573,5.2041,4.96158,4.68738,4.86799,5.04118,4.92605,4.96986,5.03337,5.04048,5.05123,..,..,..
Syrian Arab Republic,,..,..,4.36049,5.04694,6.48084,5.37148,..,5.346,4.87197,4.59525,5.13014,..,..,..,..,..,..,..,..
Tajikistan,,2.07659,2.32863,2.37658,2.7758,2.42263,2.77208,3.51215,3.40348,3.41328,3.45983,4.09831,4.00675,3.93511,4.01803,..,..,5.23215,..,..
Thailand,,4.83267,5.25346,4.81786,3.86492,3.72561,4.03089,3.93859,4.05038,3.60314,3.5085,3.86194,3.50844,4.80556,4.53669,4.12211,..,..,..,..
The former Yugoslav Republic of Macedonia,,..,..,..,3.30015,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Timor-Leste,,..,..,..,..,..,..,..,..,..,8.52505,11.93353,10.95148,10.08742,6.9914,5.60897,7.49843,..,..,..
Togo,,4.18572,4.50842,4.18779,4.01732,4.19533,3.62152,3.4069,3.66374,3.69932,3.43782,4.11576,4.4232,4.43707,4.72764,4.68326,4.87636,5.22303,5.05011,..
Tokelau,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tonga,,5.46092,4.94077,4.53256,3.79232,4.16012,3.90804,..,..,..,..,..,..,..,..,..,..,..,..,..
Trinidad and Tobago,,2.75612,2.75565,3.06529,3.54301,3.1366,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tunisia,,6.27099,6.20198,6.20183,5.79003,6.81673,6.72078,6.45157,6.43859,6.46552,6.27219,6.52848,6.25481,..,6.25037,..,..,6.59857,..,..
Turkey,,2.88664,2.52908,2.65434,2.74894,2.87663,3.0202,..,2.75063,..,..,..,..,..,4.419,4.3641,4.37116,..,..,..
Turkmenistan,,..,..,..,..,..,..,..,..,..,..,..,..,..,3.04925,..,..,..,..,..
Turks and Caicos Islands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.26528,..,..
Tuvalu,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Uganda,,..,2.46167,..,..,..,4.95237,..,..,..,..,..,2.38901,3.03767,2.48314,2.20876,2.25068,..,..,..
Ukraine,,3.61808,4.16623,4.68049,5.43333,5.60241,5.30832,6.05848,6.20873,6.1512,6.42993,7.31088,..,6.16237,6.69233,6.67166,5.87494,..,..,..
United Arab Emirates,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
UK,,4.02541,4.07179,4.14389,4.69248,4.84832,4.77278,4.97698,5.02086,4.9534,4.93553,5.13067,5.77046,5.67333,..,5.61871,5.69342,5.63148,..,..
United Republic of Tanzania,,..,..,..,..,..,4.65018,4.61078,3.2711,4.0419,4.25245,4.04365,4.62239,..,..,..,3.48143,..,..,..
USA,,..,..,..,..,..,..,5.06331,5.38622,5.2298,5.29536,5.25621,5.42001,5.2239,5.19486,4.94379,4.98948,5.38078,..,..
United States Virgin Islands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Uruguay,,..,2.42255,2.80096,2.3222,2.06821,2.49954,2.71475,2.88026,..,..,..,..,4.35527,..,..,..,..,..,..
Uzbekistan,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Vanuatu,,6.16283,7.00363,8.95115,8.13175,8.44173,..,..,..,..,5.78303,5.01295,..,..,..,..,4.91083,5.54987,..,..
Venezuela (Bolivarian Republic of),,..,..,..,..,..,..,..,3.66906,3.62732,..,6.87468,..,..,..,..,..,..,..,..
Viet Nam,,..,..,..,..,..,..,..,..,..,4.88674,4.8165,5.13722,4.81372,5.53329,5.652,..,..,..,..
Wallis and Futuna Islands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Western Sahara,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Yemen,,..,9.66163,9.24471,..,..,..,..,..,..,5.15143,..,..,..,..,..,..,..,..,..
Zambia,,1.77495,1.78819,..,..,..,2.46343,1.73553,..,1.24076,1.09972,..,..,..,..,..,..,..,..,..
Zimbabwe,,..,..,..,..,..,..,..,..,..,..,..,1.83329,..,7.29443,7.40817,7.53068,..,..,..
UIS Regions,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  World,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Arab States,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Central and Eastern Europe,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Central Asia,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  East Asia and the Pacific,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Latin America and the Caribbean,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  North America and Western Europe,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  South and West Asia,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Sub-Saharan Africa,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
World Bank Income Groups,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Low income countries,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Lower middle income countries,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Middle income countries,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Upper middle income countries,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  High income countries,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Data extracted on 07 Mar 2018 20:31 UTC (GMT) from UIS.Stat,,,,,,,,,,,,,,,,,,,,
Legend:,,,,,,,,,,,,,,,,,,,,
+:,National Estimation,,,,,,,,,,,,,,,,,,,
a:,Category not applicable,,,,,,,,,,,,,,,,,,,
‡:,UIS Estimation,,,,,,,,,,,,,,,,,,,
