Country,,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Chile,,3.72922,3.77583,..,4.08121,3.96346,3.53839,3.26283,3.02153,3.21379,3.79243,4.23065,4.16209,4.04519,..,4.52943,4.72282,4.90347,..,..
China,,1.88804,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"China, Hong Kong Special Administrative Region",,..,..,3.9037,4.01554,4.2853,4.55896,4.13463,3.84279,3.45455,3.26063,4.39213,3.51003,3.41822,3.50961,3.76032,3.57255,3.26212,3.29244,3.31598
"China, Macao Special Administrative Region",,3.36598,3.34087,2.73402,2.862,2.79764,2.24564,2.29065,2.20639,2.05452,2.20792,2.54647,2.6295,2.68519,3.33736,2.04986,2.03206,2.97818,..,..
Colombia,,4.4408,3.51121,3.70868,4.26813,4.32514,4.07935,3.99501,3.89332,4.0587,3.9098,4.74743,4.82616,4.45981,4.38531,4.90324,4.66516,4.50048,4.48296,..
Comoros,,..,..,..,3.88059,..,..,..,..,..,7.70989,..,..,4.93279,4.88999,4.29787,4.86493,4.34445,..,..
Congo,,..,..,..,3.20832,2.83616,2.28813,1.83577,..,..,..,..,6.22079,..,..,..,..,..,..,..
Cook Islands,,..,..,..,..,..,..,..,..,..,..,..,..,3.08804,2.82499,2.96239,3.92848,3.87887,4.65137,..
Costa Rica,,5.41687,4.68696,4.8511,5.17354,5.15636,4.91218,..,4.63918,4.6589,4.91712,6.04635,6.63445,6.45535,6.68984,6.84934,6.85891,7.07426,7.06339,..
Côte d'Ivoire,,4.09433,3.70367,3.66868,4.09033,3.96799,4.12786,4.10575,4.0015,4.25833,4.34126,4.41246,4.55346,4.13755,4.61108,4.729,4.57743,4.82988,..,..
Croatia,,..,..,..,3.81086,3.86755,3.82086,..,..,3.97112,4.27013,4.38926,4.25217,4.15795,..,4.58756,..,..,..,..
Cuba,,6.75524,7.70481,8.35809,9.57117,9.94086,10.26823,10.55778,9.05717,11.86821,14.05908,13.12486,12.83731,..,..,..,..,..,..,..
Curaçao,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.93095,..,..,..,..
Cyprus,,4.71968,4.89278,5.03351,5.48652,6.6567,6.08196,6.196,6.2276,6.25248,6.72402,7.20622,6.58025,6.56238,..,6.43176,6.12496,..,..,..
Czechia,,3.68481,3.65089,3.74855,3.97256,4.13643,4.01424,3.89038,4.2171,3.86663,3.74455,4.17128,4.06446,4.27214,4.25086,4.09089,3.99462,..,..,..
South Korea,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Democratic Republic of the Congo,,..,..,..,..,..,..,..,..,..,..,..,1.60244,..,..,2.24475,..,2.29096,..,..
Denmark,,7.93116,8.08433,8.21545,8.21303,8.12194,8.20763,8.08557,7.72991,7.6156,7.47605,8.44888,8.55955,8.48486,7.23782,8.49443,7.63485,..,..,..
Djibouti,,7.62948,9.66,7.80543,8.4476,8.88985,9.26467,8.36589,8.27878,8.40625,..,..,4.49022,..,..,..,..,..,..,..
Dominica,,4.99184,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.38607,..,..
Dominican Republic,,..,1.91261,2.0237,1.97101,1.87636,..,..,..,2.04679,..,..,..,..,..,..,..,..,..,..
Ecuador,,1.54734,1.15093,..,..,..,..,..,..,..,..,4.34242,4.50743,4.72689,4.64307,5.00464,5.26099,4.9987,..,..
Egypt,,..,..,..,..,4.94563,4.67072,4.79443,4.00178,3.68461,3.76083,..,..,..,..,..,..,..,..,..
El Salvador,,2.31992,2.54708,..,2.87054,2.75909,..,2.73246,3.01268,3.05447,3.74167,3.96954,3.48667,3.41748,3.33401,3.43307,3.44856,3.51756,3.45324,..
Equatorial Guinea,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Eritrea,,5.26281,..,4.04716,3.5239,..,3.14897,..,2.127,..,..,..,..,..,..,..,..,..,..,..
Estonia,,6.68736,5.34021,5.23648,5.46868,5.29463,4.91181,4.84486,..,4.66396,5.51751,5.95415,5.527,5.01738,4.71293,4.83838,5.47941,..,..,..
Ethiopia,,..,3.98311,3.70029,3.63245,..,..,..,5.49096,5.45113,5.4082,4.42207,4.49659,5.48576,5.56678,4.49855,..,..,..,..
Faeroe Islands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Falkland Islands (Malvinas),,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,,5.15351,5.85725,5.61714,6.24382,..,6.16493,5.12197,5.60714,5.84843,4.25357,4.49848,..,4.17306,..,3.88289,..,..,..,..
Finland,,5.86961,5.71688,5.84797,6.02478,6.17477,6.1685,6.03606,5.9381,5.68609,5.84677,6.48518,6.54071,6.48201,7.19254,7.15848,7.15156,..,..,..
France,,5.64529,5.51673,5.41704,5.40916,5.72295,5.63702,5.49981,5.44211,5.44519,5.44403,5.73849,5.68342,5.51584,5.46132,5.50531,5.5176,..,..,..
French Guiana,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
French Polynesia,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,,3.08123,3.82709,..,..,..,..,..,..,..,..,..,3.07809,2.98746,3.0134,3.02971,2.66667,..,..,..
Gambia,,1.56513,1.46587,1.1581,1.44292,1.36338,1.0345,1.13918,1.20949,1.30851,3.52742,3.07239,4.15611,3.92514,4.10118,2.78256,..,..,..,..
Georgia,,2.15513,2.18107,2.1375,2.23501,2.0656,2.9142,2.48431,3.00364,2.69687,2.91956,3.22239,..,2.69622,1.98331,..,..,..,3.78477,..
Germany,,..,..,..,..,..,..,..,4.2793,4.34303,4.40954,4.88048,4.91368,4.8078,4.93331,4.93497,4.93113,..,..,..
Ghana,,4.11037,..,5.35444,..,..,7.53558,7.42208,5.25994,5.51987,5.75796,5.31744,5.5406,8.14097,7.91914,6.09819,6.15983,..,..,..
Gibraltar,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,,3.02773,3.23019,3.36458,3.42431,3.42934,3.66719,3.96396,..,..,..,..,..,..,..,..,..,..,..,..
Greenland,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,,..,..,..,..,3.92674,..,..,..,..,..,..,..,..,..,..,..,..,10.29313,..
Guadeloupe,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guam,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,,..,..,..,..,..,..,..,2.98401,3.03874,3.18455,..,2.80306,2.92014,2.95786,2.84226,2.94139,2.95518,2.82871,..
Guernsey,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guinea,,2.36142,2.5934,2.08191,2.59387,2.37102,2.21,1.84906,..,..,1.58117,2.20728,2.54818,2.2874,1.896,2.6342,2.41926,..,..,..
Guinea-Bissau,,5.24617,..,..,..,..,..,..,..,..,..,..,1.86082,1.85786,2.00106,2.13249,..,..,..,..
Guyana,,8.56106,8.48415,8.58889,8.40805,6.96654,5.52623,8.13973,5.08926,3.75228,..,3.30274,3.63855,3.59204,3.18242,..,..,..,..,..
Haiti,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Holy See,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Honduras,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.87493,..,..,..,..
