Country Name,Country Code,Indicator Name,Indicator Code,1960,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Burundi,BDI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,2.803359985,,3.346760035,,,,,,,,,3.357219934,3.491980076,3.799119949,,4.559830189,5.01240015,4.08479023,,,3.420449972,2.646879911,2.904089928,3.005850077,,3.736119986,3.62687993,,,5.195990086,6.320509911,6.805309772,5.999110222,5.815090179,5.416419983,,,,
Belgium,BEL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,5.732140064,5.700530052,5.956940174,5.407400131,5.351699829,5.282360077,5.406380177,5.281680107,,,,4.812779903,4.552909851,4.269999981,,,,,5.336909771,5.387350082,2.96736002,3.025300026,,,,,5.838630199,5.948760033,5.877230167,5.801340103,5.777919769,5.834320068,5.844170094,6.292560101,6.411330223,6.409759998,6.380529881,,6.645420074,6.585140228,,,
Benin,BEN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.744829893,2.620480061,2.887429953,3.240099907,2.94994998,3.119999886,3.505980015,3.636250019,3.50184989,3.230940104,3.80053997,4.223549843,5.032519817,,4.870619774,4.551439762,4.320680141,4.359809875,,
Burkina Faso,BFA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,1.679700017,,1.96420002,,,1.753939986,,1.765169978,,,1.426419973,,,,,,3.458570004,,1.44370997,,,,,,,,,4.434760094,4.451379776,4.596010208,,,3.936810017,4.483550072,4.053939819,4.595689774,4.60476017,4.062240124,,
Bangladesh,BGD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,1.129920006,0.937229991,1.070649981,1.011270046,1.033370018,1.22416997,1.271239996,1.344040036,1.514160037,,,1.518939972,1.425099969,1.624680042,1.686169982,,,,1.951789975,,2.132159948,2.120850086,2.167920113,2.01947999,2.071239948,1.941930056,,2.131659985,2.203759909,2.053819895,1.938439965,,2.131469965,2.175100088,1.957260013,,,1.926339984,
Bulgaria,BGR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,3.52947998,,,,,,,,,,4.454060078,5.429619789,5.2604599,4.950489998,4.170660019,3.44701004,2.712039948,,2.81427002,,,3.395750046,3.394880056,4.011769772,2.325570107,4.115359783,3.912039995,3.652970076,4.204790115,4.294109821,3.863460064,3.563030005,3.502029896,4.061970234,,,,
Bahrain,BHR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.874360085,2.575000048,2.496779919,,,,2.645309925,2.476890087,2.467459917,2.668080091,,
"Bahamas, The",BHS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.849989891,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.992209911,6.199200153,,,,5.711319923,5.868060112,6.074440002,5.150259972,,4.531300068,5.425839901,4.846399784,5.124499798,5.176829815,4.990439892,4.947649956,,
